"id","title","url","type","audience__001","audience__002","audience__003","owner_email","description","vendor_url"
"130","Supplier Onboarding Checklist","https://intranet.company.com/procurement/onboarding-checklist","document","procurement","suppliers","","procurement@company.com","Checklist of required documents and procedures for onboarding new suppliers. Ensures all legal, financial, and quality requirements are met before business can begin.","null"
"131","Quality Management System","https://qms.company.com","tool","quality","production","","quality@company.com","System for managing quality-related documents, non-conformances, and corrective and preventive actions (CAPA). Ensures compliance with ISO and other quality standards.","null"
"132","Customer Feedback Portal","https://intranet.company.com/customer-service/feedback","app","all employees","customer service","","customerservice@company.com","Platform for employees to submit customer feedback and insights gathered from customer interactions. Helps product teams identify opportunities for product improvement.","null"
"133","Corporate Social Responsibility","https://intranet.company.com/csr","document","all employees","sustainability","","csr@company.com","Overview of the company's social responsibility initiatives including community involvement, employee volunteering, and ethical sourcing practices. Highlights our commitment to social good.","null"
"134","Internal Controls Framework","https://intranet.company.com/finance/internal-controls","manual","finance","managers","internal audit","finance@company.com","Framework for designing and implementing internal financial controls to prevent fraud and ensure data integrity. Aligns with SOX and other regulatory requirements.","null"
"135","Product Launch Checklist","https://intranet.company.com/marketing/product-launch","document","marketing","sales","product development","marketing@company.com","Step-by-step checklist for launching new products including key milestones, cross-functional tasks, and go-to-market strategies. Ensures a coordinated and successful launch.","null"
"136","HR Policy Library","https://intranet.company.com/hr/policy-library","document","all employees","managers","HR","hr@company.com","Central repository of all HR policies including vacation, sick leave, code of conduct, and disciplinary procedures. Provides a single source of truth for all employee-related policies.","null"
"137","Quality Audit Schedule","https://intranet.company.com/quality/audit-schedule","document","quality","production","","quality@company.com","Annual schedule of internal and external quality audits for all manufacturing facilities and suppliers. Tracks audit findings and corrective actions for continuous improvement.","null"
"138","IT Help Desk Ticketing System","https://intranet.company.com/it/help-desk-tickets","tool","all employees","IT","","it@company.com","System for submitting and tracking IT support tickets, including hardware issues, software requests, and network problems. Provides a centralized system for managing IT support.","null"
"139","Sales Incentive Plan","https://intranet.company.com/sales/incentive-plan","document","sales agents","sales managers","","salesops@company.com","Detailed plan outlining sales commissions, bonuses, and accelerators for the fiscal year. Defines performance metrics, payout schedules, and eligibility rules.","null"
"140","Product Safety Manual","https://intranet.company.com/regulatory/product-safety-manual","manual","regulatory","quality","R&D","regulatory@company.com","Guidelines for ensuring product safety and compliance with all relevant regulations. Includes protocols for hazard analysis, risk assessments, and product testing.","null"
"141","Finance Policy and Procedures","https://intranet.company.com/finance/policies-procedures","manual","finance","all employees","","finance@company.com","Manual of all financial policies and procedures including accounts payable, accounts receivable, and expense reporting. Ensures consistent financial practices across the organization.","null"
"142","Supplier Portal","https://supplier.company.com","tool","suppliers","procurement","","procurement@company.com","Web portal for suppliers to manage their account information, view purchase orders, and submit invoices. Provides a single point of access for supplier-related activities.","null"
"143","Product Development Portfolio","https://intranet.company.com/rd/product-portfolio","document","R&D","marketing","executives","innovation@company.com","Overview of the company's new product development pipeline, including project descriptions, timelines, and market opportunities. Used for strategic planning and resource allocation.","null"
"144","Travel & Expense Reporting System","https://intranet.company.com/finance/travel-expense","app","all employees","","","finance@company.com","System for submitting and approving travel and expense reports. Automates expense tracking, receipt management, and reimbursement processing.","null"
"145","Employee Handbook","https://intranet.company.com/hr/employee-handbook","document","all employees","","","hr@company.com","Comprehensive guide covering company policies, procedures, code of conduct, and employee benefits. Essential reading for all new hires and a reference guide for existing employees on workplace rules and expectations.","null"
"146","Salesforce CRM","https://company.salesforce.com","tool","sales agents","managers","","salesops@company.com","Customer relationship management system for tracking leads, opportunities, and customer interactions. Primary tool for sales team to manage pipeline, forecast revenue, and maintain customer contact information.","https://www.salesforce.com"
"147","Product Catalog 2024","https://intranet.company.com/products/catalog-2024","document","sales agents","marketing","","productteam@company.com","Complete listing of all current products with specifications, pricing tiers, and SKU numbers. Includes product images, nutritional information, and packaging details for the entire portfolio.","null"
"148","SAP ERP System","https://sap.company.com","app","finance","supply chain","managers","it@company.com","Enterprise resource planning system for managing financials, procurement, manufacturing, and inventory. Central system for processing purchase orders, managing vendor relationships, and tracking production schedules.","https://www.sap.com"
"149","New Hire Onboarding Checklist","https://intranet.company.com/hr/onboarding-checklist","document","new hires","managers","","hr@company.com","Step-by-step guide for first 90 days including required training, system access requests, and key meetings. Helps new employees navigate their initial period and ensures all administrative tasks are completed.","null"
"150","Microsoft Teams","https://teams.microsoft.com","tool","all employees","","","it@company.com","Primary communication and collaboration platform for instant messaging, video calls, and file sharing. Used for daily team communication, virtual meetings, and project collaboration across departments.","https://www.microsoft.com/teams"
"151","Brand Guidelines Manual","https://intranet.company.com/marketing/brand-guidelines","manual","marketing","designers","agencies","marketing@company.com","Official brand standards including logo usage, color palettes, typography, and tone of voice. Essential reference for creating marketing materials and ensuring consistent brand representation across all channels.","null"
"152","Expense Reimbursement Portal","https://intranet.company.com/finance/expenses","app","all employees","","","finance@company.com","Online system for submitting expense reports, uploading receipts, and tracking reimbursement status. Includes guidelines on allowable expenses, per diem rates, and approval workflows for business travel.","null"
"153","Quality Control Procedures","https://intranet.company.com/quality/procedures","manual","quality team","production","","quality@company.com","Detailed protocols for product testing, sampling procedures, and quality standards compliance. Contains SOPs for laboratory testing, batch release criteria, and deviation management processes.","null"
"154","Workday HR System","https://company.workday.com","tool","all employees","","","hr@company.com","Self-service portal for managing personal information, viewing pay stubs, and requesting time off. Employees can update contact details, enroll in benefits, and complete performance reviews.","https://www.workday.com"
"155","Sales Training Academy","https://intranet.company.com/training/sales-academy","link","sales agents","new hires","","salestraining@company.com","Comprehensive training program covering product knowledge, selling techniques, and customer engagement strategies. Includes video modules, role-playing exercises, and certification programs for sales excellence.","null"
"156","IT Service Desk","https://helpdesk.company.com","tool","all employees","","","it@company.com","Portal for submitting IT support tickets, requesting new equipment, and accessing self-help resources. Provides status updates on technical issues and knowledge base articles for common problems.","null"
"157","Trade Promotion Management System","https://intranet.company.com/sales/tpm","app","sales agents","trade marketing","","trademarketing@company.com","Platform for planning, executing, and analyzing promotional campaigns with retail partners. Tracks promotional spending, calculates ROI, and manages trade fund allocations across accounts.","null"
"158","Safety Data Sheets Database","https://intranet.company.com/safety/sds","document","production","quality","safety team","safety@company.com","Repository of safety data sheets for all raw materials and finished products. Contains hazard information, handling procedures, and emergency response guidelines for chemical substances.","null"
"159","Tableau Analytics Dashboard","https://tableau.company.com","tool","managers","analysts","","analytics@company.com","Business intelligence platform with real-time dashboards for sales performance, market share, and operational metrics. Provides interactive visualizations and automated reporting for data-driven decision making.","https://www.tableau.com"
"160","Packaging Specifications Database","https://intranet.company.com/packaging/specs","document","packaging team","suppliers","","packaging@company.com","Technical specifications for all packaging materials including dimensions, materials, and printing requirements. Used by procurement and suppliers to ensure packaging meets quality and sustainability standards.","null"
"161","Performance Review Portal","https://intranet.company.com/hr/performance","app","all employees","managers","","hr@company.com","System for conducting annual and mid-year performance evaluations, setting goals, and tracking development plans. Facilitates 360-degree feedback and succession planning discussions.","null"
"162","Regulatory Compliance Library","https://intranet.company.com/legal/compliance","document","legal","quality","regulatory","legal@company.com","Collection of regulatory requirements, FDA guidelines, and industry standards applicable to products. Includes labeling regulations, health claims guidance, and international trade compliance documents.","null"
"163","SharePoint Document Management","https://sharepoint.company.com","tool","all employees","","","it@company.com","Corporate document repository for storing, sharing, and collaborating on files across teams. Provides version control, access permissions, and integration with Microsoft Office applications.","https://www.microsoft.com/sharepoint"
"164","Travel Booking System","https://travel.company.com","tool","all employees","","","travel@company.com","Portal for booking business travel including flights, hotels, and rental cars within policy guidelines. Integrated with expense system and provides travel approval workflows for cost control.","null"
"165","Product Development Stage Gate Process","https://intranet.company.com/npd/stage-gate","manual","product development","managers","","innovation@company.com","Framework for new product development from concept to launch with defined milestones and approval gates. Outlines criteria for project progression, resource allocation, and go/no-go decisions.","null"
"166","Vendor Management Portal","https://intranet.company.com/procurement/vendors","app","procurement","finance","","procurement@company.com","System for vendor registration, qualification, and performance evaluation. Maintains approved vendor lists, tracks certifications, and manages supplier scorecards for quality and delivery.","null"
"167","Emergency Response Procedures","https://intranet.company.com/safety/emergency","document","all employees","","","safety@company.com","Critical procedures for various emergency scenarios including evacuation, severe weather, and security threats. Contains emergency contact numbers, assembly points, and crisis communication protocols.","null"
"168","Marketing Asset Library","https://dam.company.com","tool","marketing","sales agents","","marketing@company.com","Digital asset management system containing logos, product images, videos, and marketing templates. Enables quick access to approved creative assets with usage rights and brand compliance.","null"
"169","Benefits Enrollment Guide","https://intranet.company.com/hr/benefits-guide","document","all employees","","","benefits@company.com","Comprehensive overview of health insurance options, retirement plans, and voluntary benefits. Includes comparison charts, enrollment deadlines, and frequently asked questions about coverage.","null"
"170","Jira Project Management","https://company.atlassian.net","tool","IT","project managers","","pmo@company.com","Agile project management tool for tracking tasks, bugs, and project progress. Used primarily by IT and digital teams for sprint planning, backlog management, and workflow automation.","https://www.atlassian.com/jira"
"171","Supply Chain Dashboard","https://intranet.company.com/supply-chain/dashboard","app","supply chain","managers","","supplychain@company.com","Real-time visibility into inventory levels, order fulfillment rates, and logistics performance. Tracks key metrics including fill rates, on-time delivery, and warehouse capacity utilization.","null"
"172","Code of Ethics","https://intranet.company.com/legal/code-of-ethics","document","all employees","","","legal@company.com","Company's ethical guidelines covering conflicts of interest, anti-corruption, and business conduct standards. Required annual certification for all employees with examples and decision-making framework.","null"
"173","Learning Management System","https://lms.company.com","tool","all employees","","","training@company.com","Platform for accessing online training courses, tracking certifications, and managing professional development. Includes mandatory compliance training, skill development programs, and leadership curricula.","null"
"174","Retail Execution Guidelines","https://intranet.company.com/sales/retail-execution","manual","sales agents","merchandisers","","salesops@company.com","Standards for in-store merchandising, shelf placement, and promotional displays. Provides planograms, compliance checklists, and best practices for maximizing retail presence.","null"
"175","Budget Planning Templates","https://intranet.company.com/finance/budget-templates","document","managers","finance","","fp&a@company.com","Excel templates and guidelines for annual budget preparation and quarterly forecasting. Includes instructions for cost center planning, headcount projections, and capital expenditure requests.","null"
"176","Slack Messaging Platform","https://company.slack.com","tool","all employees","","","it@company.com","Alternative instant messaging platform for quick team communication and informal collaboration. Used for project channels, quick questions, and integrations with other business applications.","https://www.slack.com"
"177","Manufacturing SOPs","https://intranet.company.com/manufacturing/sops","manual","production","quality","","manufacturing@company.com","Standard operating procedures for all production lines including equipment operation and cleaning protocols. Details step-by-step processes for ensuring product quality and operational efficiency.","null"
"178","Competitive Intelligence Reports","https://intranet.company.com/strategy/competitive-intel","document","managers","marketing","","strategy@company.com","Monthly analysis of competitor activities, market trends, and industry developments. Provides insights on pricing strategies, new product launches, and market share dynamics.","null"
"179","Patent and Trademark Database","https://intranet.company.com/legal/ip-database","document","legal","R&D","marketing","legal@company.com","Repository of company-owned intellectual property including patents, trademarks, and trade secrets. Contains filing dates, territories covered, and renewal deadlines for IP portfolio management.","null"
"180","Customer Service Knowledge Base","https://intranet.company.com/customer-service/kb","document","customer service","","","customerservice@company.com","Comprehensive FAQ database and response templates for handling customer inquiries and complaints. Includes product information, troubleshooting guides, and escalation procedures.","null"
"181","Sustainability Reporting Framework","https://intranet.company.com/sustainability/reporting","document","sustainability team","managers","","sustainability@company.com","Guidelines for measuring and reporting environmental impact, carbon footprint, and sustainability initiatives. Includes data collection templates and GRI reporting standards compliance.","null"
"182","Oracle Cloud Financials","https://cloud.oracle.com/company","tool","finance","accounting","","finance@company.com","Cloud-based financial management system for general ledger, accounts payable, and financial reporting. Handles month-end close processes, journal entries, and statutory reporting requirements.","https://www.oracle.com/cloud"
"183","Field Sales Reporting App","https://intranet.company.com/sales/field-app","app","sales agents","","","salesops@company.com","Mobile application for capturing store visits, competitive observations, and merchandising compliance. Enables real-time data collection and photo documentation from retail locations.","null"
"184","Crisis Communication Plan","https://intranet.company.com/communications/crisis-plan","document","managers","communications","","communications@company.com","Protocol for managing public relations during product recalls, accidents, or reputation issues. Contains stakeholder contact lists, message templates, and media response guidelines.","null"
"185","R&D Lab Notebook System","https://intranet.company.com/rd/lab-notebooks","app","R&D","scientists","","rd@company.com","Electronic lab notebook for documenting experiments, formulations, and research findings. Provides secure, time-stamped records for intellectual property protection and regulatory compliance.","null"
"186","Warehouse Management System","https://wms.company.com","tool","warehouse","logistics","","logistics@company.com","System for managing inventory movement, pick-pack operations, and shipping processes. Optimizes warehouse layout, tracks lot numbers, and manages FIFO/FEFO requirements.","null"
"187","Employee Recognition Platform","https://recognition.company.com","tool","all employees","","","hr@company.com","Portal for peer-to-peer recognition, service awards, and performance acknowledgments. Enables employees to send kudos, redeem points for rewards, and celebrate team achievements.","null"
"188","Contract Management System","https://intranet.company.com/legal/contracts","app","legal","procurement","sales","legal@company.com","Repository for storing, tracking, and managing all business contracts and agreements. Provides alerts for renewal dates, tracks obligations, and maintains audit trails for compliance.","null"
"189","Production Planning Schedule","https://intranet.company.com/production/schedule","document","production","supply chain","","production@company.com","Master production schedule showing planned manufacturing runs, changeovers, and maintenance windows. Updated weekly to coordinate raw material procurement and finished goods availability.","null"
"190","Social Media Guidelines","https://intranet.company.com/marketing/social-media-policy","document","all employees","marketing","","marketing@company.com","Policy for employee social media use including personal and professional accounts. Covers appropriate content, confidentiality requirements, and brand representation guidelines.","null"
"191","PowerBI Reports Portal","https://powerbi.company.com","tool","managers","analysts","","analytics@company.com","Self-service analytics platform with automated reports and custom dashboard creation capabilities. Connects to multiple data sources for cross-functional performance monitoring and trending.","https://www.microsoft.com/power-bi"
"192","Nutrition Labeling Guide","https://intranet.company.com/regulatory/nutrition-labeling","manual","regulatory","packaging","R&D","regulatory@company.com","Requirements and procedures for creating compliant nutrition facts panels and ingredient declarations. Includes calculation methods, rounding rules, and allergen labeling requirements.","null"
"193","Capital Expenditure Request Form","https://intranet.company.com/finance/capex-request","app","managers","","","finance@company.com","Online form for requesting capital investments in equipment, facilities, or technology. Includes ROI calculation tools, approval workflows, and project tracking capabilities.","null"
"194","Zoom Video Conferencing","https://company.zoom.us","tool","all employees","","","it@company.com","Video conferencing platform for virtual meetings, webinars, and remote collaboration. Supports screen sharing, recording capabilities, and integration with calendar systems.","https://www.zoom.us"
"195","Trade Show Planning Guide","https://intranet.company.com/marketing/trade-shows","document","marketing","sales","","events@company.com","Comprehensive checklist and timeline for planning trade show participation. Covers booth design, logistics, lead capture strategies, and post-show follow-up procedures.","null"
"196","HACCP Documentation","https://intranet.company.com/quality/haccp","manual","quality","production","","quality@company.com","Hazard Analysis and Critical Control Points plans for all production facilities. Details critical control points, monitoring procedures, and corrective action protocols for food safety.","null"
"197","Recruiting & Onboarding System","https://ats.company.com","tool","HR","hiring managers","recruiting","hr@company.com","Applicant tracking and onboarding system for managing the entire employee lifecycle from job posting to new hire paperwork. Integrates with HRIS and payroll systems.","https://www.greenhouse.io"
"198","Waste Reduction Initiative","https://intranet.company.com/sustainability/waste-reduction","document","all employees","sustainability","","sustainability@company.com","Programs and guidelines for reducing waste in operations and offices. Includes recycling procedures, composting programs, and zero waste goals.","null"
"199","Supply Chain Risk Assessment","https://intranet.company.com/supply-chain/risk-assessment","app","supply chain","procurement","","supplychainrisk@company.com","Tool for identifying and assessing supply chain risks including supplier financial health and geographic concentration. Develops mitigation strategies for critical suppliers.","null"
"200","Annual Operating Plan","https://intranet.company.com/strategy/annual-plan","document","managers","all employees","","strategy@company.com","Company's annual strategic priorities, financial targets, and key initiatives. Provides a roadmap for the organization and a basis for performance management.",""
